"route_set_type","path_template","view_route","route_type","route_n_views","path_id","n_layers","mediator_path","key_path","first_view","first_mediator","terminal_view","terminal_mediator","a","d_product","b","sequential_score","abs_sequential_score","p_a","max_p_d","p_b","fusion_mode","p_primary","min_abs_cor","max_q_cor","q_primary_global","q_primary"
"parallel_sequential","species_to_fecal","species -> fecal_metabolites","sequential",2,2692,2,"species:Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites:oleoylcarnitine (C18:1)","species::Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites::oleoylcarnitine (C18:1)","species","Blautia_sp_OF03_15BH|t__SGB4779","fecal_metabolites","oleoylcarnitine (C18:1)",0.959556022032589,-0.155070601461894,0,0,0,0.00261930146373928,0.4253626200554,NA,"early",0.4253626200554,0.235606293337745,0.334542154822796,0.654335228988797,0.654335228988797
"parallel_sequential","species_to_fecal","species -> fecal_metabolites","sequential",2,2693,2,"species:Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites:phenylalanylglycine","species::Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites::phenylalanylglycine","species","Blautia_sp_OF03_15BH|t__SGB4779","fecal_metabolites","phenylalanylglycine",0.959556022032589,0.391030487920907,0,0,0,0.00261930146373928,0.0401087663334673,NA,"early",0.0401087663334673,0.235085903954338,0.335418917885353,0.443175673201267,0.443175673201267
"parallel_sequential","species_to_fecal","species -> fecal_metabolites","sequential",2,2694,2,"species:Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites:(16 or 17)-methylstearate (a19:0 or i19:0)","species::Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites::(16 or 17)-methylstearate (a19:0 or i19:0)","species","Blautia_sp_OF03_15BH|t__SGB4779","fecal_metabolites","(16 or 17)-methylstearate (a19:0 or i19:0)",0.959556022032589,-0.23481638883764,0,0,0,0.00261930146373928,0.23697340086897,NA,"early",0.23697340086897,0.2324839570373,0.33862806167281,0.558909059192928,0.558909059192928
"parallel_sequential","species_to_fecal","species -> fecal_metabolites","sequential",2,2695,2,"species:Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites:3-dehydrodeoxycholate","species::Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites::3-dehydrodeoxycholate","species","Blautia_sp_OF03_15BH|t__SGB4779","fecal_metabolites","3-dehydrodeoxycholate",0.959556022032589,-0.216637806055983,0,0,0,0.00261930146373928,0.274760870850991,NA,"early",0.274760870850991,0.232353859691449,0.33862806167281,0.581610529986987,0.581610529986987
"parallel_sequential","species_to_fecal","species -> fecal_metabolites","sequential",2,2696,2,"species:Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites:spermidine","species::Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites::spermidine","species","Blautia_sp_OF03_15BH|t__SGB4779","fecal_metabolites","spermidine",0.959556022032589,0.501049645833503,0,0,0,0.00261930146373928,0.00847697717424922,NA,"early",0.00847697717424922,0.232093664999745,0.338701441425384,0.245257627736329,0.245257627736329
"parallel_sequential","species_to_fecal","species -> fecal_metabolites","sequential",2,2697,2,"species:Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites:gamma-glutamylthreonine","species::Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites::gamma-glutamylthreonine","species","Blautia_sp_OF03_15BH|t__SGB4779","fecal_metabolites","gamma-glutamylthreonine",0.959556022032589,-0.355678277448884,0,0,0,0.00261930146373928,0.0692435038937542,NA,"early",0.0692435038937542,0.231443178270485,0.338762633958365,0.484058765002499,0.484058765002499
"parallel_sequential","species_to_fecal","species -> fecal_metabolites","sequential",2,2698,2,"species:Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites:histidylalanine","species::Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites::histidylalanine","species","Blautia_sp_OF03_15BH|t__SGB4779","fecal_metabolites","histidylalanine",0.959556022032589,0.459589984191532,0,0,0,0.00261930146373928,0.0141451854005291,NA,"early",0.0141451854005291,0.230142204811967,0.339451297880475,0.31027595529463,0.31027595529463
"parallel_sequential","species_to_fecal","species -> fecal_metabolites","sequential",2,2699,2,"species:Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites:daidzein","species::Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites::daidzein","species","Blautia_sp_OF03_15BH|t__SGB4779","fecal_metabolites","daidzein",0.959556022032589,0.185875881285351,0,0,0,0.00261930146373928,0.347041877338098,NA,"early",0.347041877338098,0.229101426045152,0.340212102402672,0.611748235376024,0.611748235376024
"parallel_sequential","species_to_fecal","species -> fecal_metabolites","sequential",2,2700,2,"species:Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites:pentose acid*","species::Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites::pentose acid*","species","Blautia_sp_OF03_15BH|t__SGB4779","fecal_metabolites","pentose acid*",0.959556022032589,-0.215364949871298,0,0,0,0.00261930146373928,0.274733605417206,NA,"early",0.274733605417206,0.228841231353448,0.340212102402672,0.581610529986987,0.581610529986987
"parallel_sequential","species_to_fecal","species -> fecal_metabolites","sequential",2,2701,2,"species:Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites:3-hydroxyhippurate","species::Blautia_sp_OF03_15BH|t__SGB4779 -> fecal_metabolites::3-hydroxyhippurate","species","Blautia_sp_OF03_15BH|t__SGB4779","fecal_metabolites","3-hydroxyhippurate",0.959556022032589,-0.151901356351903,0,0,0,0.00261930146373928,0.444665515991709,NA,"early",0.444665515991709,0.228320841970041,0.340212102402672,0.66563347190691,0.66563347190691
