"omics","mediator","a","p_a","q_a","b","p_b","selected_by_screen","selected_by_sis","score","abs_score","joint_p_ab","p_primary","q_primary_within_view","q_primary","p_primary_model_based","q_primary_global"
"species","Clostridia_bacterium|t__SGB14937",-0.784697509599588,0.0162426615148767,0.450873879981923,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Roseburia_faecis|t__SGB4925",0.7707778368566,0.0184235165941534,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Prevotella_sp_P4_51|t__SGB1666",0.761415362047796,0.0200238993675139,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Mediterraneibacter_sp_gm002|t__SGB4553",0.754962440077901,0.0211930569677532,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","GGB3491_SGB4665|t__SGB4665",0.74868478054332,0.0223843979517974,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","GGB34228_SGB72916|t__SGB72916",0.739644822724595,0.0241971812052166,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Lachnospira_SGB5077|t__SGB5077",0.734539663005762,0.0252735050197536,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Alistipes_ihumii|t__SGB2328",-0.731755363879875,0.0258769984907725,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Bifidobacterium_bifidum|t__SGB17256",0.7315261283871,0.0259272105611075,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Bifidobacterium_angulatum|t__SGB17231",0.728152240303113,0.0266755828080662,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Alistipes_putredinis|t__SGB2318",-0.718991384882251,0.028797861540212,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Lachnospiraceae_bacterium|t__SGB4780",0.716311369146128,0.0294443355767008,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Agathobaculum_butyriciproducens|t__SGB14993_group",0.716214922824316,0.0294678207401239,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Pseudoruminococcus_massiliensis|t__SGB4280",0.715858615920345,0.0295547167017835,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Clostridia_bacterium|t__SGB5184",-0.706234129580791,0.0319827253125601,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","GGB9758_SGB15368|t__SGB15368",0.702605590947857,0.0329394659643039,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Anaeromassilibacillus_sp_An250|t__SGB14894",-0.69549857185505,0.0348811720744014,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Lachnospiraceae_bacterium|t__SGB5062",0.689934584941006,0.0364655795802045,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Streptococcus_sp_A12|t__SGB8059_group",0.687228015009149,0.037257206027842,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Lachnospiraceae_bacterium|t__SGB4782",0.6817586980241,0.0388995293162904,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Lachnospiraceae_bacterium|t__SGB4957",0.674399168444583,0.0412016127364457,0.477206380323382,0,NA,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA
"species","Clostridia_bacterium|t__SGB14932",-0.671630123437651,0.0420958003328874,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Clostridia_bacterium|t__SGB15385",0.668641150796091,0.0430785368394672,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Eggerthella_lenta|t__SGB14809",-0.667771171811234,0.0433680273982666,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Clostridium_SGB6179|t__SGB6179",-0.658957128396858,0.0463903434026172,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
"species","Lachnospiraceae_bacterium|t__SGB4808",0.655831113697513,0.047502054152253,0.477206380323382,0,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA
